UTF-8
a grao|1
(av.)|de ruson
a kaxo|1
(av.)|a stin
a stin|1
(av.)|a kaxo
abade|1
(sost.)|abate|abado|abao
abado|1
(sost.)|abade|abate|abao
abao|1
(sost.)|abade|abate|abado
abarinto|1
(sost.)|laberinto|ƚaberinto|labarinto|ƚabarinto|lanbarinto|ƚanbarinto|xlanbarinto|barinto
abate|1
(sost.)|abade|abado|abao
abdegar|1
(v.)|renunŧiar|renunsiar|renonŧiar|renonsiar|ranunŧiar|ranunsiar|ranonŧiar|ranonsiar|abdikar
abdikar|1
(v.)|renunŧiar|renunsiar|renonŧiar|renonsiar|ranunŧiar|ranunsiar|ranonŧiar|ranonsiar|abdegar
abecé|1
(sost.)|rúbrika|vaketa
abedo|1
(sost.)|albedo|albeo|albío|peŧ|peŧo|peso|avedin
abensa|1
(sost.)|abenŧa|abenŧia|abensia
abensia|1
(sost.)|abenŧa|abensa|abenŧia
abenŧa|1
(sost.)|abensa|abenŧia|abensia
abenŧia|1
(sost.)|abenŧa|abensa|abensia
abernonsio|1
(av.)|abernonŧio|abrenonŧio|abrenonsio|abrenunŧio|abrenunsio|bernonŧio|bernonsio|barnonŧio|barnonsio
abernonŧio|1
(av.)|abernonsio|abrenonŧio|abrenonsio|abrenunŧio|abrenunsio|bernonŧio|bernonsio|barnonŧio|barnonsio
abesensio|1
(sost.)|abesenŧio|absinŧio|absinsio|abisinŧio|abisinsio|apisinŧio|apisinsio|apsinŧio|apsinsio|asenŧio|asensio|asinŧio|asinsio|arsinŧio|arsinsio|bonmaistro|bomaistro|maistro ménego
abesenŧio|1
(sost.)|abesensio|absinŧio|absinsio|abisinŧio|abisinsio|apisinŧio|apisinsio|apsinŧio|apsinsio|asenŧio|asensio|asinŧio|asinsio|arsinŧio|arsinsio|bonmaistro|bomaistro|maistro ménego
abetúdin|1
(sost.)|bitúden|abitúden|abitúdin
abilitar|1
(v.)|abiƚitar|fakoltiđar|fakoltixar
abinar|1
(v.)|konbinar
abisinsio|1
